GENEID,transcript count
ENSMUSG00000000001.5,1
ENSMUSG00000000028.16,3
ENSMUSG00000000031.18,12
ENSMUSG00000000037.18,7
ENSMUSG00000000049.12,1
ENSMUSG00000000056.8,2
ENSMUSG00000000058.7,2
ENSMUSG00000000078.8,2
ENSMUSG00000000085.17,14
ENSMUSG00000000088.8,3
ENSMUSG00000000093.7,1
ENSMUSG00000000094.13,3
ENSMUSG00000000120.7,1
ENSMUSG00000000125.6,1
ENSMUSG00000000126.12,2
ENSMUSG00000000127.16,5
ENSMUSG00000000131.16,19
ENSMUSG00000000134.18,11
ENSMUSG00000000142.16,6
ENSMUSG00000000148.18,6
ENSMUSG00000000149.11,1
ENSMUSG00000000154.17,3
ENSMUSG00000000159.17,3
ENSMUSG00000000167.15,7
ENSMUSG00000000168.11,6
ENSMUSG00000000171.6,1
ENSMUSG00000000182.10,1
ENSMUSG00000000184.13,6
ENSMUSG00000000194.14,8
ENSMUSG00000000197.9,7
ENSMUSG00000000202.10,7
ENSMUSG00000000214.12,4
ENSMUSG00000000215.12,4
ENSMUSG00000000216.9,1
ENSMUSG00000000223.14,6
ENSMUSG00000000244.18,8
ENSMUSG00000000247.12,4
ENSMUSG00000000253.14,4
ENSMUSG00000000263.16,3
ENSMUSG00000000266.12,4
ENSMUSG00000000275.17,3
ENSMUSG00000000276.12,3
ENSMUSG00000000278.11,1
ENSMUSG00000000282.13,2
ENSMUSG00000000290.14,3
ENSMUSG00000000295.14,5
ENSMUSG00000000296.9,5
ENSMUSG00000000301.17,6
ENSMUSG00000000303.13,2
ENSMUSG00000000305.13,2
ENSMUSG00000000308.15,10
ENSMUSG00000000317.12,2
ENSMUSG00000000318.17,6
ENSMUSG00000000320.11,1
ENSMUSG00000000326.14,4
ENSMUSG00000000339.15,5
ENSMUSG00000000340.11,3
ENSMUSG00000000346.10,4
ENSMUSG00000000355.14,5
ENSMUSG00000000359.4,2
ENSMUSG00000000365.10,5
ENSMUSG00000000374.9,4
ENSMUSG00000000378.16,8
ENSMUSG00000000384.16,11
ENSMUSG00000000385.9,1
ENSMUSG00000000392.18,5
ENSMUSG00000000399.11,3
ENSMUSG00000000402.3,1
ENSMUSG00000000409.15,6
ENSMUSG00000000411.8,1
ENSMUSG00000000416.17,8
ENSMUSG00000000420.16,6
ENSMUSG00000000439.10,3
ENSMUSG00000000440.13,3
ENSMUSG00000000441.18,10
ENSMUSG00000000486.14,6
ENSMUSG00000000489.8,4
ENSMUSG00000000530.17,10
ENSMUSG00000000531.6,1
ENSMUSG00000000532.12,1
ENSMUSG00000000538.19,11
ENSMUSG00000000552.11,3
ENSMUSG00000000555.9,3
ENSMUSG00000000560.10,6
ENSMUSG00000000561.15,4
ENSMUSG00000000562.6,1
ENSMUSG00000000563.18,6
ENSMUSG00000000567.6,1
ENSMUSG00000000568.16,10
ENSMUSG00000000579.15,4
ENSMUSG00000000581.9,5
ENSMUSG00000000594.8,1
ENSMUSG00000000600.16,12
ENSMUSG00000000605.10,9
ENSMUSG00000000627.16,3
ENSMUSG00000000628.11,3
ENSMUSG00000000631.21,23
ENSMUSG00000000632.14,9
ENSMUSG00000000673.10,1
ENSMUSG00000000682.8,3
ENSMUSG00000000686.12,1
ENSMUSG00000000693.11,2
ENSMUSG00000000708.15,5
ENSMUSG00000000711.4,2
ENSMUSG00000000724.11,2
ENSMUSG00000000730.14,6
ENSMUSG00000000732.10,4
ENSMUSG00000000738.19,12
ENSMUSG00000000739.15,2
ENSMUSG00000000740.13,5
ENSMUSG00000000743.10,4
ENSMUSG00000000751.14,5
ENSMUSG00000000753.16,5
ENSMUSG00000000759.15,9
ENSMUSG00000000766.19,14
ENSMUSG00000000776.14,5
ENSMUSG00000000782.17,3
ENSMUSG00000000787.13,5
ENSMUSG00000000791.10,2
ENSMUSG00000000792.3,1
ENSMUSG00000000794.10,2
ENSMUSG00000000804.15,9
ENSMUSG00000000805.19,6
ENSMUSG00000000811.15,2
